2023-10-09 22:20:56,427  =================== rf_bert01 start training ===================
2023-10-09 22:27:53,223  gridsearching...
2023-10-09 23:46:38,496  0.682 (+/-0.033) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,496  0.659 (+/-0.034) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,496  0.675 (+/-0.027) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,496  0.683 (+/-0.030) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,496  0.677 (+/-0.024) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,497  0.705 (+/-0.032) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,497  0.714 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,497  0.676 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,497  0.705 (+/-0.030) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,497  0.714 (+/-0.030) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,497  0.681 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,497  0.705 (+/-0.024) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,497  0.712 (+/-0.028) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,497  0.675 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,497  0.707 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,497  0.711 (+/-0.033) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,497  0.680 (+/-0.028) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 50}
